"File","Status","SizeKB"
"C:\Queuecure-AI\.gitignore","FILLED","0.18"
"C:\Queuecure-AI\all-files-report.txt","FILLED","932.76"
"C:\Queuecure-AI\docker-compose.yml","FILLED","0.21"
"C:\Queuecure-AI\empty-files-report.txt","FILLED","0.22"
"C:\Queuecure-AI\empty-files.txt","FILLED","0.24"
"C:\Queuecure-AI\LICENSE","FILLED","0.38"
"C:\Queuecure-AI\package.json","FILLED","0.29"
"C:\Queuecure-AI\project-file-report.txt","FILLED","932.87"
"C:\Queuecure-AI\QueueCure_File_Report.csv","EMPTY","0"
"C:\Queuecure-AI\README.md","FILLED","0.86"
"C:\Queuecure-AI\requirements.txt","FILLED","0.03"
"C:\Queuecure-AI\backend\.env","FILLED","0.12"
"C:\Queuecure-AI\backend\empty-files.txt","FILLED","0.26"
"C:\Queuecure-AI\backend\package-lock.json","FILLED","78.56"
"C:\Queuecure-AI\backend\package.json","FILLED","0.66"
"C:\Queuecure-AI\backend\server.js","FILLED","0.86"
"C:\Queuecure-AI\backend\src\.env","FILLED","0.1"
"C:\Queuecure-AI\backend\src\app.js","FILLED","1.27"
"C:\Queuecure-AI\backend\src\config\db.js","FILLED","0.38"
"C:\Queuecure-AI\backend\src\config\index.js","FILLED","0.2"
"C:\Queuecure-AI\backend\src\controllers\appointment\appointmentController.js","FILLED","2.18"
"C:\Queuecure-AI\backend\src\controllers\auth\authController.js","FILLED","0.85"
"C:\Queuecure-AI\backend\src\controllers\doctor\doctorController.js","FILLED","1.97"
"C:\Queuecure-AI\backend\src\controllers\hospital\hospitalController.js","FILLED","2.04"
"C:\Queuecure-AI\backend\src\controllers\patient\patientController.js","FILLED","1.28"
"C:\Queuecure-AI\backend\src\controllers\queue\callNextController.js","FILLED","0.42"
"C:\Queuecure-AI\backend\src\controllers\queue\dashboardController.js","FILLED","0.98"
"C:\Queuecure-AI\backend\src\controllers\queue\queueController.js","FILLED","0.47"
"C:\Queuecure-AI\backend\src\controllers\receptionist\receptionistController.js","FILLED","0.49"
"C:\Queuecure-AI\backend\src\middleware\authMiddleware.js","FILLED","1.04"
"C:\Queuecure-AI\backend\src\middleware\roleMiddleware.js","FILLED","0.5"
"C:\Queuecure-AI\backend\src\models\Appointment.js","FILLED","0.68"
"C:\Queuecure-AI\backend\src\models\Doctor.js","FILLED","0.61"
"C:\Queuecure-AI\backend\src\models\Hospital.js","FILLED","0.4"
"C:\Queuecure-AI\backend\src\models\Patient.js","FILLED","1.58"
"C:\Queuecure-AI\backend\src\models\Queue.js","FILLED","0.69"
"C:\Queuecure-AI\backend\src\models\user.js","FILLED","0.88"
"C:\Queuecure-AI\backend\src\routes\appointment\appointmentRoutes.js","FILLED","0.48"
"C:\Queuecure-AI\backend\src\routes\auth\authRoutes.js","FILLED","0.23"
"C:\Queuecure-AI\backend\src\routes\doctor\doctorRoutes.js","FILLED","0.42"
"C:\Queuecure-AI\backend\src\routes\hospital\hospitalRoutes.js","FILLED","0.44"
"C:\Queuecure-AI\backend\src\routes\patient\patientRoutes.js","FILLED","0.42"
"C:\Queuecure-AI\backend\src\routes\queue\queueRoutes.js","FILLED","0.49"
"C:\Queuecure-AI\backend\src\routes\receptionist\receptionistRoutes.js","FILLED","0.23"
"C:\Queuecure-AI\backend\src\services\appointment\appointmentService.js","FILLED","0.78"
"C:\Queuecure-AI\backend\src\services\auth\authService.js","FILLED","1.83"
"C:\Queuecure-AI\backend\src\services\doctor\doctorService.js","FILLED","0.67"
"C:\Queuecure-AI\backend\src\services\hospital\hospitalService.js","FILLED","0.67"
"C:\Queuecure-AI\backend\src\services\patient\patientService.js","FILLED","1.13"
"C:\Queuecure-AI\backend\src\services\queue\callNextToken.js","FILLED","0.92"
"C:\Queuecure-AI\backend\src\services\queue\queueService.js","FILLED","0.78"
"C:\Queuecure-AI\backend\src\services\receptionist\receptionistService.js","FILLED","0.51"
"C:\Queuecure-AI\backend\src\socket\socketServer.js","FILLED","0.46"
"C:\Queuecure-AI\backend\src\utils\generateToken.js","FILLED","0.29"
"C:\Queuecure-AI\frontend\.env","FILLED","0.03"
"C:\Queuecure-AI\frontend\.gitignore","FILLED","0.25"
"C:\Queuecure-AI\frontend\eslint.config.js","FILLED","0.55"
"C:\Queuecure-AI\frontend\index.html","FILLED","0.35"
"C:\Queuecure-AI\frontend\package-lock.json","FILLED","95.3"
"C:\Queuecure-AI\frontend\package.json","FILLED","0.69"
"C:\Queuecure-AI\frontend\postcss.config.js","FILLED","0.07"
"C:\Queuecure-AI\frontend\README.md","FILLED","1"
"C:\Queuecure-AI\frontend\tailwind.config.js","FILLED","0.14"
"C:\Queuecure-AI\frontend\vite.config.js","FILLED","0.16"
"C:\Queuecure-AI\frontend\public\favicon.svg","FILLED","9.3"
"C:\Queuecure-AI\frontend\public\icons.svg","FILLED","4.91"
"C:\Queuecure-AI\frontend\src\App.css","FILLED","2.82"
"C:\Queuecure-AI\frontend\src\App.jsx","FILLED","3.6"
"C:\Queuecure-AI\frontend\src\index.css","FILLED","0.03"
"C:\Queuecure-AI\frontend\src\main.jsx","FILLED","0.22"
"C:\Queuecure-AI\frontend\src\assets\hero.png","FILLED","12.75"
"C:\Queuecure-AI\frontend\src\assets\react.svg","FILLED","4.03"
"C:\Queuecure-AI\frontend\src\assets\vite.svg","FILLED","8.5"
